time,X_value,Y_value,Z_value
0.000,0.00000,0.00000,0.00000
0.000,13.40000,25.00000,-13.90000
0.000,13.40000,25.00000,-13.90000
0.021,13.20000,25.00000,-13.90000
0.081,13.20000,25.00000,-14.00000
0.101,13.20000,24.90000,-14.00000
0.121,13.20000,24.90000,-14.00000
0.141,13.10000,24.90000,-14.10000
0.191,13.20000,24.90000,-14.00000
0.221,13.20000,24.80000,-14.10000
0.241,13.20000,24.90000,-14.10000
0.260,13.20000,24.90000,-14.10000
0.281,13.20000,24.80000,-14.00000
0.301,13.20000,24.80000,-13.80000
0.321,13.20000,24.90000,-13.80000
0.341,13.20000,24.90000,-13.70000
0.360,13.30000,24.80000,-13.80000
0.401,13.30000,24.90000,-13.70000
0.421,13.30000,24.90000,-13.90000
0.441,13.30000,24.80000,-13.80000
0.461,13.30000,24.80000,-14.00000
0.514,13.30000,24.80000,-14.10000
0.536,13.30000,24.80000,-14.10000
0.561,13.30000,24.80000,-14.00000
0.572,13.30000,24.80000,-14.10000
0.601,13.30000,24.90000,-14.20000
0.622,13.30000,24.80000,-14.20000
0.642,13.30000,24.80000,-14.30000
0.661,13.30000,24.80000,-14.40000
0.693,13.30000,24.80000,-14.30000
0.742,13.40000,24.80000,-14.30000
0.761,13.30000,24.90000,-14.40000
0.782,13.30000,24.80000,-14.40000
0.815,13.20000,24.90000,-14.40000
0.837,13.20000,24.90000,-14.40000
0.856,13.30000,24.90000,-14.50000
0.873,13.20000,24.90000,-14.50000
0.892,13.20000,24.90000,-14.50000
0.911,13.20000,24.90000,-14.40000
0.933,13.30000,24.90000,-14.30000
0.954,13.20000,24.90000,-14.20000
0.972,13.20000,24.90000,-14.20000
1.001,13.20000,25.00000,-14.20000
1.022,13.20000,24.90000,-14.30000
1.053,13.20000,25.00000,-14.20000
1.101,13.30000,24.90000,-14.20000
1.123,13.20000,24.90000,-14.20000
1.147,13.20000,24.90000,-14.10000
1.192,13.20000,24.90000,-14.20000
1.211,13.20000,24.90000,-14.30000
1.234,13.20000,24.80000,-14.30000
1.272,13.20000,24.80000,-14.30000
1.293,13.20000,24.80000,-14.30000
1.311,13.30000,24.80000,-14.20000
1.341,13.20000,24.80000,-14.20000
1.362,13.30000,24.80000,-14.10000
1.393,13.30000,24.80000,-14.00000
1.422,13.30000,24.80000,-14.20000
1.442,13.30000,24.80000,-14.20000
1.472,13.30000,24.80000,-14.10000
1.491,13.20000,24.90000,-14.10000
1.519,13.20000,24.80000,-14.00000
1.534,13.20000,24.80000,-14.10000
1.593,13.10000,24.90000,-14.10000
1.611,13.10000,24.90000,-14.00000
1.636,13.00000,24.90000,-14.00000
1.681,13.10000,24.90000,-14.20000
1.723,13.10000,24.90000,-14.10000
1.751,13.00000,24.90000,-14.10000
1.773,13.00000,24.90000,-14.20000
1.805,13.10000,24.90000,-14.00000
1.832,13.00000,25.00000,-14.20000
1.852,13.00000,25.00000,-14.30000
1.871,13.00000,25.00000,-14.40000
1.941,13.00000,25.00000,-14.60000
1.962,12.90000,25.00000,-14.60000
1.986,12.90000,25.10000,-14.60000
2.002,12.90000,25.00000,-14.60000
2.021,12.90000,25.00000,-14.70000
2.044,13.00000,25.00000,-14.70000
2.085,13.00000,25.00000,-14.80000
2.102,12.90000,25.00000,-14.90000
2.135,13.00000,25.00000,-14.70000
2.152,12.90000,25.00000,-14.60000
2.171,12.90000,25.00000,-14.50000
2.201,13.00000,25.00000,-14.40000
2.252,13.00000,24.90000,-14.40000
2.274,13.00000,24.80000,-14.40000
2.293,13.10000,24.80000,-14.30000
2.318,13.10000,24.90000,-14.30000
2.335,13.00000,24.80000,-14.20000
2.362,13.00000,24.90000,-14.10000
2.384,13.00000,24.90000,-14.10000
2.421,13.00000,24.90000,-14.10000
2.442,13.00000,24.80000,-14.10000
2.461,13.00000,24.80000,-14.00000
2.485,13.00000,24.90000,-14.00000
2.511,13.00000,24.90000,-13.90000
2.541,13.00000,25.00000,-13.80000
2.571,13.00000,25.00000,-13.90000
2.602,13.00000,25.00000,-13.80000
2.624,13.00000,25.00000,-14.00000
2.642,13.00000,25.00000,-13.90000
2.673,13.10000,25.00000,-14.00000
2.690,13.10000,25.00000,-14.00000
2.721,13.10000,25.00000,-13.90000
2.760,13.20000,25.00000,-13.90000
2.785,13.20000,25.00000,-14.00000
2.841,13.20000,25.00000,-14.10000
2.861,13.20000,25.00000,-14.10000
2.881,13.20000,25.00000,-13.90000
2.932,13.20000,25.00000,-14.10000
2.953,13.20000,25.00000,-14.10000
2.972,13.30000,24.90000,-14.00000
3.001,13.30000,24.90000,-14.20000
3.021,13.30000,24.90000,-14.30000
3.041,13.30000,24.90000,-14.50000
3.071,13.30000,24.90000,-14.40000
3.092,13.30000,24.90000,-14.30000
3.121,13.20000,24.90000,-14.40000
3.162,13.20000,24.90000,-14.30000
3.221,13.20000,24.90000,-14.30000
3.252,13.20000,24.90000,-14.50000
3.273,13.10000,24.90000,-14.50000
3.291,13.20000,24.90000,-14.40000
3.332,13.20000,24.90000,-14.30000
3.353,13.20000,24.90000,-14.40000
3.371,13.20000,24.90000,-14.40000
3.401,13.20000,24.90000,-14.50000
3.422,13.20000,24.90000,-14.40000
3.442,13.30000,24.80000,-14.40000
3.461,13.20000,24.90000,-14.50000
3.482,13.30000,24.80000,-14.50000
3.502,13.30000,24.80000,-14.40000
3.562,13.30000,24.80000,-14.50000
3.599,13.20000,24.70000,-14.50000
3.606,13.20000,24.70000,-14.50000
3.624,13.20000,24.70000,-14.50000
3.641,13.30000,24.70000,-14.50000
3.692,13.40000,24.70000,-14.50000
3.725,13.30000,24.70000,-14.60000
3.744,13.30000,24.70000,-14.70000
3.801,13.20000,24.70000,-14.80000
3.821,13.20000,24.70000,-14.80000
3.841,13.20000,24.80000,-14.80000
3.861,13.30000,24.70000,-14.70000
3.901,13.30000,24.80000,-14.80000
3.932,13.30000,24.80000,-14.60000
3.961,13.20000,24.80000,-14.50000
3.981,13.20000,24.80000,-14.50000
4.001,13.20000,24.80000,-14.60000
4.021,13.20000,24.80000,-14.50000
4.053,13.20000,24.80000,-14.60000
4.083,13.20000,24.90000,-14.60000
4.091,13.20000,24.90000,-14.60000
4.123,13.30000,24.80000,-14.60000
4.147,13.20000,24.90000,-14.60000
4.153,13.20000,24.90000,-14.70000
