time,X_value,Y_value,Z_value
0.000,0.00000,0.00000,0.00000
0.000,-0.04787,0.04118,9.80645
0.272,-0.04804,0.04113,9.80645
0.421,-0.04816,0.04113,9.80645
0.796,-0.04838,0.04115,9.80644
0.826,-0.04852,0.04111,9.80644
0.863,-0.04862,0.04111,9.80644
0.902,-0.04870,0.04103,9.80644
0.926,-0.04896,0.04101,9.80644
0.942,-0.04927,0.04098,9.80644
0.967,-0.04951,0.04089,9.80644
0.983,-0.04976,0.04091,9.80644
1.002,-0.04985,0.04090,9.80644
1.032,-0.05004,0.04080,9.80644
1.053,-0.05023,0.04069,9.80644
2.076,-0.05033,0.04067,9.80644
2.152,-0.05045,0.04053,9.80644
2.427,-0.05037,0.04043,9.80644
2.446,-0.05020,0.04026,9.80644
2.473,-0.05016,0.04016,9.80644
3.507,-0.05021,0.04006,9.80644
4.947,-0.05019,0.03996,9.80644
4.970,-0.05017,0.03985,9.80644
5.376,-0.05010,0.03982,9.80644
5.686,-0.05000,0.03990,9.80644
8.146,-0.04978,0.03999,9.80644
8.906,-0.04956,0.03999,9.80644
8.938,-0.04937,0.03992,9.80644
10.146,-0.04931,0.03983,9.80645
12.037,-0.04924,0.03977,9.80645
12.055,-0.04910,0.03955,9.80645
12.227,-0.04893,0.03948,9.80645
12.253,-0.04863,0.03947,9.80645
12.267,-0.04840,0.03951,9.80645
12.304,-0.04820,0.03953,9.80645
12.325,-0.04796,0.03953,9.80645
12.343,-0.04777,0.03958,9.80645
12.636,-0.04772,0.03949,9.80645
15.556,-0.04776,0.03961,9.80645
16.816,-0.04777,0.03978,9.80645
16.838,-0.04773,0.04001,9.80645
16.872,-0.04770,0.04009,9.80645
17.274,-0.04782,0.04007,9.80645
18.967,-0.04791,0.04012,9.80645
19.606,-0.04795,0.04001,9.80645
20.427,-0.04788,0.03994,9.80645
21.004,-0.04779,0.03988,9.80645
21.023,-0.04763,0.03977,9.80645
21.046,-0.04756,0.03970,9.80645
21.316,-0.04757,0.03958,9.80645
21.526,-0.04757,0.03946,9.80645
21.546,-0.04756,0.03926,9.80646
22.736,-0.04768,0.03928,9.80646
22.764,-0.04797,0.03935,9.80645
22.774,-0.04820,0.03941,9.80645
23.007,-0.04812,0.03930,9.80645
23.927,-0.04821,0.03935,9.80645
25.416,-0.04823,0.03925,9.80645
26.327,-0.04837,0.03914,9.80645
26.476,-0.04846,0.03909,9.80645
28.747,-0.04849,0.03898,9.80645
31.350,-0.04848,0.03908,9.80645
31.377,-0.04856,0.03917,9.80645
31.846,-0.04853,0.03933,9.80645
32.156,-0.04837,0.03948,9.80645
33.007,-0.04847,0.03944,9.80645
33.684,-0.04848,0.03954,9.80645
34.084,-0.04845,0.03945,9.80645
34.229,-0.04853,0.03949,9.80645
34.387,-0.04843,0.03949,9.80645
34.607,-0.04834,0.03952,9.80645
35.034,-0.04827,0.03960,9.80645
35.061,-0.04821,0.03969,9.80645
35.097,-0.04811,0.03992,9.80645
35.098,-0.04797,0.04017,9.80645
35.118,-0.04788,0.04022,9.80645
35.132,-0.04773,0.04039,9.80645
35.215,-0.04771,0.04049,9.80645
35.667,-0.04759,0.04061,9.80645
35.794,-0.04750,0.04065,9.80645
36.107,-0.04741,0.04072,9.80645
36.125,-0.04733,0.04080,9.80645
36.148,-0.04724,0.04085,9.80645
36.436,-0.04719,0.04094,9.80645
36.503,-0.04711,0.04103,9.80645
36.522,-0.04698,0.04119,9.80645
36.553,-0.04691,0.04125,9.80645
37.648,-0.04680,0.04119,9.80645
38.336,-0.04670,0.04118,9.80645
38.360,-0.04650,0.04122,9.80645
38.373,-0.04629,0.04121,9.80645
38.638,-0.04620,0.04131,9.80645
38.665,-0.04599,0.04145,9.80645
38.672,-0.04580,0.04154,9.80646
39.887,-0.04575,0.04145,9.80646
43.409,-0.04582,0.04138,9.80646
43.445,-0.04601,0.04134,9.80645
48.449,-0.04608,0.04143,9.80645
48.877,-0.04599,0.04136,9.80645
49.243,-0.04597,0.04147,9.80645
49.487,-0.04590,0.04154,9.80645
49.506,-0.04578,0.04174,9.80645
49.574,-0.04567,0.04178,9.80645
49.595,-0.04542,0.04186,9.80646
49.631,-0.04523,0.04191,9.80646
49.797,-0.04501,0.04189,9.80646
50.197,-0.04482,0.04183,9.80646
50.832,-0.04491,0.04179,9.80646
50.852,-0.04503,0.04177,9.80646
50.912,-0.04512,0.04173,9.80646
50.964,-0.04521,0.04168,9.80646
51.464,-0.04526,0.04175,9.80646
51.524,-0.04533,0.04182,9.80646
51.548,-0.04552,0.04194,9.80645
51.602,-0.04561,0.04191,9.80645
51.747,-0.04559,0.04181,9.80645
53.437,-0.04554,0.04162,9.80646
54.167,-0.04566,0.04160,9.80646
55.476,-0.04576,0.04160,9.80645
56.146,-0.04565,0.04158,9.80646
56.170,-0.04545,0.04148,9.80646
56.199,-0.04526,0.04139,9.80646
57.366,-0.04519,0.04131,9.80646
57.432,-0.04513,0.04122,9.80646
57.452,-0.04497,0.04106,9.80646
57.473,-0.04497,0.04106,9.80646
57.492,-0.04497,0.04106,9.80646
57.516,-0.04497,0.04106,9.80646
57.533,-0.04497,0.04106,9.80646
57.553,-0.04497,0.04106,9.80646
57.574,-0.04497,0.04106,9.80646
57.594,-0.04497,0.04106,9.80646
57.617,-0.04497,0.04106,9.80646
57.633,-0.04497,0.04106,9.80646
57.652,-0.04497,0.04106,9.80646
57.673,-0.04497,0.04106,9.80646
57.693,-0.04487,0.04108,9.80646
58.477,-0.04478,0.04104,9.80646
58.944,-0.04469,0.04111,9.80646
59.012,-0.04463,0.04118,9.80646
59.033,-0.04442,0.04128,9.80646
60.407,-0.04446,0.04115,9.80646
62.177,-0.04448,0.04093,9.80646
