time,X_value,Y_value,Z_value
0.000,0.00000,0.00000,0.00000
0.001,17.80000,23.30000,-15.50000
0.001,17.80000,23.30000,-15.40000
0.001,17.80000,23.30000,-15.30000
0.001,17.80000,23.20000,-15.30000
0.001,17.70000,23.20000,-15.50000
0.003,17.70000,23.20000,-15.40000
0.033,17.70000,23.20000,-15.30000
0.082,17.70000,23.20000,-15.50000
0.111,17.70000,23.20000,-15.40000
0.131,17.70000,23.30000,-15.40000
0.182,17.70000,23.30000,-15.60000
0.212,17.70000,23.30000,-15.70000
0.241,17.70000,23.30000,-15.70000
0.272,17.80000,23.30000,-15.80000
0.292,17.70000,23.30000,-15.90000
0.382,17.80000,23.30000,-15.80000
0.402,17.70000,23.30000,-15.90000
0.425,17.80000,23.30000,-16.00000
0.453,17.80000,23.30000,-15.90000
0.482,17.80000,23.20000,-15.80000
0.502,17.80000,23.20000,-15.90000
0.523,17.70000,23.30000,-15.80000
0.553,17.70000,23.30000,-15.70000
0.576,17.60000,23.30000,-15.60000
0.592,17.70000,23.30000,-15.60000
0.612,17.70000,23.30000,-15.70000
0.643,17.70000,23.30000,-15.80000
0.662,17.80000,23.30000,-15.80000
0.702,17.80000,23.20000,-15.60000
0.741,17.80000,23.20000,-15.70000
0.763,17.90000,23.20000,-15.50000
0.792,17.80000,23.20000,-15.50000
0.823,17.90000,23.20000,-15.60000
0.841,18.00000,23.20000,-15.60000
0.863,18.00000,23.20000,-15.70000
0.882,18.00000,23.20000,-15.80000
0.912,17.90000,23.20000,-15.70000
0.933,17.90000,23.20000,-15.50000
0.953,17.90000,23.20000,-15.60000
0.982,17.90000,23.20000,-15.70000
1.022,17.90000,23.20000,-15.60000
1.053,17.90000,23.30000,-15.60000
1.092,17.80000,23.30000,-15.70000
1.122,17.90000,23.30000,-15.70000
1.144,17.90000,23.30000,-15.80000
1.162,17.90000,23.30000,-15.60000
1.184,18.00000,23.30000,-15.50000
1.203,17.90000,23.30000,-15.60000
1.242,18.00000,23.30000,-15.60000
1.272,18.00000,23.30000,-15.60000
1.293,18.00000,23.30000,-15.60000
1.322,18.00000,23.30000,-15.60000
1.344,18.00000,23.20000,-15.50000
1.363,18.00000,23.20000,-15.70000
1.383,18.00000,23.20000,-15.60000
1.401,18.00000,23.10000,-15.40000
1.422,18.10000,23.20000,-15.40000
1.442,18.10000,23.10000,-15.30000
1.462,18.00000,23.20000,-15.40000
1.483,18.00000,23.20000,-15.40000
1.502,18.00000,23.20000,-15.50000
1.522,18.00000,23.10000,-15.60000
1.572,17.90000,23.10000,-15.70000
1.593,18.00000,23.20000,-15.70000
1.613,18.00000,23.10000,-15.80000
1.632,18.00000,23.10000,-15.80000
1.664,18.00000,23.20000,-15.70000
1.702,17.90000,23.20000,-15.70000
1.732,17.90000,23.30000,-15.80000
1.763,17.90000,23.30000,-15.60000
1.813,17.80000,23.20000,-15.50000
1.833,17.80000,23.30000,-15.60000
1.872,17.90000,23.30000,-15.50000
1.894,17.90000,23.20000,-15.50000
1.912,17.80000,23.20000,-15.60000
1.942,17.80000,23.20000,-15.60000
1.962,17.90000,23.20000,-15.50000
1.982,17.80000,23.20000,-15.50000
2.002,17.90000,23.20000,-15.50000
2.022,17.90000,23.20000,-15.60000
2.052,17.90000,23.10000,-15.70000
2.077,17.90000,23.10000,-15.70000
2.094,17.90000,23.20000,-15.60000
2.122,17.80000,23.20000,-15.60000
2.143,17.90000,23.20000,-15.40000
2.161,17.80000,23.20000,-15.20000
2.182,17.80000,23.20000,-15.30000
2.212,17.90000,23.30000,-15.20000
2.252,17.90000,23.30000,-15.30000
2.276,17.90000,23.30000,-15.40000
2.302,17.80000,23.30000,-15.40000
2.333,17.80000,23.40000,-15.20000
2.353,17.70000,23.40000,-15.20000
2.383,17.70000,23.40000,-15.30000
2.402,17.80000,23.30000,-15.30000
2.424,17.80000,23.40000,-15.30000
2.447,17.80000,23.40000,-15.30000
2.463,17.90000,23.30000,-15.40000
2.512,17.80000,23.40000,-15.50000
2.533,17.70000,23.40000,-15.50000
2.553,17.60000,23.40000,-15.50000
2.578,17.70000,23.40000,-15.30000
2.593,17.70000,23.40000,-15.20000
2.613,17.80000,23.40000,-15.30000
2.631,17.80000,23.40000,-15.10000
2.651,17.90000,23.40000,-15.00000
2.673,17.80000,23.40000,-14.90000
2.701,17.90000,23.40000,-14.80000
2.733,17.80000,23.40000,-14.80000
2.752,17.90000,23.40000,-14.90000
2.803,17.90000,23.30000,-14.80000
2.833,17.90000,23.40000,-14.80000
2.862,18.00000,23.30000,-14.90000
2.882,18.00000,23.30000,-14.90000
2.902,18.00000,23.30000,-15.10000
2.933,17.90000,23.30000,-15.20000
2.952,17.90000,23.30000,-15.40000
2.977,17.90000,23.30000,-15.40000
3.012,17.90000,23.30000,-15.60000
3.043,17.80000,23.30000,-15.60000
3.063,17.80000,23.30000,-15.50000
3.093,17.80000,23.40000,-15.50000
3.122,17.80000,23.30000,-15.50000
3.145,17.80000,23.40000,-15.40000
3.165,17.70000,23.30000,-15.40000
3.182,17.80000,23.30000,-15.40000
3.202,17.70000,23.40000,-15.30000
3.222,17.80000,23.40000,-15.40000
3.252,17.80000,23.40000,-15.30000
3.276,17.80000,23.30000,-15.30000
3.312,17.80000,23.30000,-15.10000
3.352,17.80000,23.30000,-15.20000
3.377,17.90000,23.30000,-15.20000
3.402,17.80000,23.30000,-15.30000
3.422,17.80000,23.30000,-15.20000
3.442,17.90000,23.30000,-15.10000
3.464,17.90000,23.30000,-15.30000
3.492,17.90000,23.30000,-15.20000
3.514,17.90000,23.20000,-15.30000
3.551,17.90000,23.20000,-15.30000
3.633,17.90000,23.30000,-15.40000
3.653,17.90000,23.30000,-15.40000
3.680,17.90000,23.30000,-15.40000
3.693,17.90000,23.30000,-15.30000
3.712,17.90000,23.30000,-15.50000
3.753,17.90000,23.30000,-15.50000
3.778,17.90000,23.30000,-15.30000
3.822,18.00000,23.30000,-15.40000
3.843,18.00000,23.30000,-15.40000
3.874,18.00000,23.30000,-15.40000
3.897,18.10000,23.30000,-15.50000
3.914,18.00000,23.30000,-15.50000
3.932,18.00000,23.30000,-15.40000
3.962,18.10000,23.40000,-15.30000
3.983,18.10000,23.40000,-15.30000
4.002,18.10000,23.40000,-15.20000
4.026,18.10000,23.40000,-15.00000
4.053,18.10000,23.50000,-14.90000
4.083,18.10000,23.50000,-15.00000
4.106,18.10000,23.50000,-15.10000
4.122,18.10000,23.50000,-15.00000
4.148,18.00000,23.50000,-15.00000
4.174,18.00000,23.50000,-14.90000
4.195,17.90000,23.50000,-14.90000
4.213,18.00000,23.50000,-15.00000
4.233,17.90000,23.50000,-15.00000
4.252,18.00000,23.40000,-15.10000
4.279,18.10000,23.40000,-15.30000
4.293,18.10000,23.30000,-15.20000
4.314,18.00000,23.40000,-15.40000
4.342,18.00000,23.40000,-15.40000
4.363,18.00000,23.40000,-15.50000
4.393,18.00000,23.40000,-15.50000
4.413,18.00000,23.40000,-15.40000
4.443,18.00000,23.30000,-15.50000
4.482,18.00000,23.30000,-15.40000
4.513,18.00000,23.30000,-15.30000
4.533,18.00000,23.30000,-15.20000
4.552,17.90000,23.30000,-15.20000
4.593,17.80000,23.40000,-15.30000
4.612,17.90000,23.30000,-15.30000
4.633,17.90000,23.30000,-15.40000
4.673,17.90000,23.30000,-15.20000
4.695,17.90000,23.40000,-15.20000
4.713,17.80000,23.40000,-15.20000
4.732,17.90000,23.40000,-15.30000
4.792,17.90000,23.30000,-15.20000
4.823,17.90000,23.40000,-15.20000
4.847,17.90000,23.40000,-15.10000
4.874,17.90000,23.40000,-15.00000
4.897,18.00000,23.40000,-14.90000
4.915,18.00000,23.40000,-14.80000
4.942,17.90000,23.40000,-14.90000
4.963,18.00000,23.40000,-15.00000
5.013,18.10000,23.40000,-14.90000
5.049,18.10000,23.40000,-14.90000
5.065,18.00000,23.40000,-14.80000
5.083,18.00000,23.40000,-15.00000
5.103,18.10000,23.40000,-15.10000
5.152,18.10000,23.40000,-15.20000
5.173,18.10000,23.40000,-15.40000
5.212,17.90000,23.40000,-15.40000
5.233,18.00000,23.40000,-15.40000
5.253,17.90000,23.40000,-15.40000
5.277,17.90000,23.40000,-15.40000
5.292,17.80000,23.40000,-15.50000
5.312,17.70000,23.40000,-15.70000
5.333,17.70000,23.50000,-15.50000
5.363,17.60000,23.50000,-15.50000
5.384,17.60000,23.40000,-15.40000
5.433,17.50000,23.40000,-15.30000
5.462,17.50000,23.40000,-15.10000
5.482,17.60000,23.40000,-15.00000
5.504,17.70000,23.30000,-15.10000
5.523,17.70000,23.40000,-15.20000
5.565,17.80000,23.40000,-15.00000
5.583,17.80000,23.40000,-14.90000
5.602,17.90000,23.30000,-14.80000
5.622,17.90000,23.30000,-14.80000
5.642,18.00000,23.20000,-14.80000
5.662,18.00000,23.20000,-14.80000
5.682,18.10000,23.20000,-14.80000
5.712,18.10000,23.20000,-14.80000
5.741,18.10000,23.20000,-14.60000
5.752,18.20000,23.20000,-14.60000
5.784,18.30000,23.10000,-14.60000
5.802,18.20000,23.20000,-14.50000
5.821,18.20000,23.10000,-14.40000
5.842,18.20000,23.10000,-14.30000
5.871,18.20000,23.10000,-14.30000
5.898,18.10000,23.10000,-14.30000
5.914,18.10000,23.20000,-14.40000
5.952,18.20000,23.20000,-14.50000
5.974,18.20000,23.20000,-14.50000
6.022,18.20000,23.20000,-14.60000
6.044,18.20000,23.20000,-14.80000
6.087,18.20000,23.20000,-14.80000
6.102,18.10000,23.20000,-14.80000
6.143,18.00000,23.20000,-14.80000
6.164,18.10000,23.30000,-14.80000
6.182,18.10000,23.30000,-14.70000
6.202,18.00000,23.30000,-14.80000
6.232,18.00000,23.30000,-14.80000
6.252,17.90000,23.30000,-14.90000
6.283,17.90000,23.40000,-14.70000
6.314,17.80000,23.40000,-14.80000
6.333,17.80000,23.50000,-14.70000
6.382,17.80000,23.50000,-14.70000
6.412,17.80000,23.50000,-14.80000
6.462,17.70000,23.50000,-14.80000
6.490,17.70000,23.40000,-14.80000
6.514,17.80000,23.40000,-14.80000
6.542,17.70000,23.40000,-14.80000
6.563,17.70000,23.40000,-14.80000
6.584,17.70000,23.40000,-14.90000
6.602,17.60000,23.40000,-15.00000
6.632,17.60000,23.40000,-15.00000
6.646,17.60000,23.40000,-15.00000
6.671,17.60000,23.30000,-15.20000
6.697,17.60000,23.40000,-15.20000
6.713,17.60000,23.30000,-15.10000
6.732,17.60000,23.40000,-15.00000
6.753,17.70000,23.30000,-15.00000
6.782,17.70000,23.30000,-15.20000
6.803,17.80000,23.30000,-15.20000
6.822,17.70000,23.30000,-15.30000
6.842,17.80000,23.30000,-15.20000
6.873,17.80000,23.30000,-15.20000
6.900,17.90000,23.30000,-15.10000
6.922,18.00000,23.20000,-15.00000
6.973,17.90000,23.20000,-15.20000
6.999,18.00000,23.20000,-15.20000
7.033,18.00000,23.10000,-15.30000
7.053,18.00000,23.10000,-15.40000
7.082,18.10000,23.10000,-15.30000
7.102,18.10000,23.10000,-15.10000
7.132,18.10000,23.10000,-15.20000
7.152,18.10000,23.10000,-15.20000
7.183,18.20000,23.20000,-15.30000
7.202,18.20000,23.20000,-15.40000
7.233,18.10000,23.10000,-15.30000
7.252,18.20000,23.10000,-15.20000
7.272,18.20000,23.10000,-15.10000
7.312,18.20000,23.20000,-15.10000
7.332,18.20000,23.30000,-15.00000
7.369,18.30000,23.30000,-14.90000
7.402,18.20000,23.20000,-15.00000
7.414,18.20000,23.30000,-15.00000
7.433,18.20000,23.20000,-14.90000
7.473,18.10000,23.20000,-14.90000
7.499,18.20000,23.20000,-14.80000
7.524,18.20000,23.20000,-14.70000
7.548,18.20000,23.20000,-14.80000
7.568,18.30000,23.20000,-14.70000
7.581,18.30000,23.20000,-14.90000
7.602,18.30000,23.20000,-14.90000
7.622,18.30000,23.10000,-14.90000
7.653,18.20000,23.10000,-15.00000
7.673,18.30000,23.10000,-15.00000
7.702,18.20000,23.20000,-14.90000
7.731,18.20000,23.20000,-14.90000
7.733,18.20000,23.20000,-14.80000
7.762,18.30000,23.10000,-14.70000
7.782,18.30000,23.20000,-14.90000
7.802,18.30000,23.20000,-14.80000
7.832,18.20000,23.20000,-14.80000
7.852,18.20000,23.20000,-14.80000
7.872,18.10000,23.20000,-14.80000
7.903,18.10000,23.20000,-14.80000
7.963,18.10000,23.20000,-14.90000
7.987,18.20000,23.20000,-14.80000
8.002,18.20000,23.10000,-14.90000
8.030,18.20000,23.10000,-14.90000
8.042,18.10000,23.20000,-14.90000
8.063,18.10000,23.20000,-14.90000
8.100,18.20000,23.10000,-14.70000
8.133,18.20000,23.10000,-14.70000
8.152,18.30000,23.10000,-14.80000
8.182,18.20000,23.00000,-14.70000
8.222,18.30000,23.00000,-14.70000
8.247,18.30000,23.00000,-14.60000
8.282,18.30000,23.00000,-14.70000
8.312,18.30000,23.10000,-14.70000
8.351,18.30000,23.00000,-14.90000
8.372,18.30000,23.00000,-15.10000
8.392,18.30000,23.00000,-15.20000
8.422,18.30000,23.00000,-15.20000
8.455,18.30000,23.00000,-15.20000
8.474,18.30000,23.00000,-15.30000
8.493,18.30000,23.10000,-15.30000
8.513,18.30000,23.10000,-15.30000
8.583,18.30000,23.00000,-15.40000
8.608,18.30000,23.00000,-15.30000
8.622,18.40000,23.10000,-15.20000
8.653,18.40000,23.00000,-15.20000
8.693,18.40000,23.10000,-15.00000
8.716,18.30000,23.10000,-14.90000
8.734,18.30000,23.00000,-14.80000
8.765,18.40000,23.00000,-14.80000
8.793,18.50000,23.00000,-14.60000
8.818,18.50000,23.00000,-14.50000
8.842,18.50000,23.10000,-14.50000
8.868,18.60000,23.00000,-14.50000
8.882,18.60000,23.00000,-14.30000
8.913,18.70000,23.00000,-14.30000
8.932,18.70000,23.00000,-14.30000
8.952,18.70000,23.10000,-14.30000
8.982,18.70000,23.10000,-14.50000
9.012,18.70000,23.10000,-14.50000
9.035,18.60000,23.20000,-14.60000
9.072,18.60000,23.20000,-14.60000
9.122,18.50000,23.20000,-14.80000
9.147,18.50000,23.20000,-14.70000
9.166,18.40000,23.20000,-14.70000
9.182,18.30000,23.20000,-14.80000
9.202,18.30000,23.20000,-14.90000
9.222,18.20000,23.20000,-15.10000
9.249,18.20000,23.20000,-15.00000
9.266,18.20000,23.20000,-15.00000
9.284,18.30000,23.10000,-14.90000
9.333,18.40000,23.10000,-14.80000
9.362,18.30000,23.10000,-14.90000
9.382,18.40000,23.10000,-14.90000
9.402,18.30000,23.10000,-15.00000
9.422,18.30000,23.10000,-15.00000
9.442,18.30000,23.10000,-15.20000
9.467,18.30000,23.10000,-15.10000
9.493,18.30000,23.10000,-15.10000
9.516,18.40000,23.10000,-15.10000
9.551,18.20000,23.10000,-15.20000
9.592,18.20000,23.10000,-15.20000
9.618,18.20000,23.10000,-15.30000
9.635,18.10000,23.10000,-15.30000
9.662,18.20000,23.10000,-15.30000
9.685,18.20000,23.10000,-15.30000
9.703,18.20000,23.10000,-15.20000
9.722,18.20000,23.10000,-15.30000
9.742,18.30000,23.10000,-15.20000
9.762,18.30000,23.10000,-15.30000
9.792,18.20000,23.10000,-15.30000
9.815,18.20000,23.10000,-15.20000
9.832,18.30000,23.00000,-15.10000
9.852,18.40000,23.00000,-15.10000
9.873,18.30000,23.00000,-15.00000
9.908,18.40000,23.00000,-14.90000
9.922,18.40000,23.00000,-14.80000
9.953,18.40000,23.00000,-14.90000
9.972,18.40000,23.00000,-14.90000
10.003,18.40000,23.00000,-14.90000
10.022,18.40000,23.00000,-14.80000
10.064,18.40000,23.00000,-14.90000
10.086,18.40000,23.00000,-14.80000
10.102,18.40000,23.00000,-14.90000
10.134,18.50000,23.00000,-14.90000
10.153,18.50000,23.00000,-14.90000
10.187,18.40000,23.00000,-15.00000
10.222,18.40000,23.00000,-15.10000
10.248,18.40000,23.00000,-15.00000
10.268,18.30000,23.00000,-15.00000
10.282,18.30000,23.10000,-15.10000
10.302,18.40000,23.10000,-15.00000
10.322,18.30000,23.10000,-15.10000
10.363,18.30000,23.00000,-15.00000
10.382,18.30000,23.00000,-15.10000
10.413,18.30000,23.00000,-14.90000
10.432,18.30000,23.00000,-15.00000
10.473,18.40000,23.00000,-15.00000
10.504,18.30000,23.00000,-14.90000
10.515,18.30000,23.00000,-15.00000
10.537,18.30000,22.90000,-14.90000
10.555,18.30000,22.90000,-14.90000
10.572,18.40000,22.90000,-15.00000
10.603,18.30000,22.90000,-15.00000
10.653,18.40000,22.90000,-14.90000
10.672,18.30000,22.90000,-15.00000
10.704,18.30000,22.90000,-15.00000
10.713,18.40000,22.90000,-15.10000
10.734,18.30000,22.90000,-14.90000
10.792,18.40000,23.10000,-14.90000
