time,X_value,Y_value,Z_value
0.000,0.00000,0.00000,0.00000
0.103,-0.53665,-0.28668,9.78776
0.143,-0.53649,-0.28549,9.78780
0.183,-0.53634,-0.28446,9.78784
0.223,-0.53606,-0.28573,9.78782
0.263,-0.53584,-0.28578,9.78783
0.303,-0.53525,-0.28548,9.78787
0.343,-0.53606,-0.28537,9.78783
0.384,-0.53678,-0.28490,9.78780
0.423,-0.53701,-0.28559,9.78777
0.464,-0.53630,-0.28546,9.78781
0.503,-0.53603,-0.28534,9.78783
0.544,-0.53659,-0.28528,9.78780
0.584,-0.53671,-0.28524,9.78780
0.624,-0.53660,-0.28501,9.78781
0.664,-0.53786,-0.28447,9.78776
0.704,-0.53899,-0.28398,9.78771
0.744,-0.53859,-0.28468,9.78771
0.784,-0.53825,-0.28492,9.78772
0.824,-0.53723,-0.28480,9.78778
0.864,-0.53777,-0.28397,9.78778
0.904,-0.53863,-0.28323,9.78775
0.944,-0.53921,-0.28322,9.78772
0.984,-0.53936,-0.28323,9.78771
1.024,-0.54004,-0.28335,9.78767
1.065,-0.54032,-0.28376,9.78764
1.105,-0.54058,-0.28376,9.78763
1.145,-0.54053,-0.28316,9.78765
1.185,-0.54049,-0.28263,9.78767
1.226,-0.54065,-0.28305,9.78764
1.265,-0.54033,-0.28234,9.78768
1.305,-0.54004,-0.28171,9.78772
1.345,-0.53987,-0.28229,9.78771
1.385,-0.53972,-0.28280,9.78770
1.425,-0.53893,-0.28335,9.78773
1.465,-0.53932,-0.28377,9.78770
1.505,-0.53967,-0.28414,9.78767
1.545,-0.53938,-0.28434,9.78768
1.585,-0.53876,-0.28413,9.78772
1.625,-0.53815,-0.28322,9.78778
1.666,-0.53743,-0.28301,9.78782
1.706,-0.53716,-0.28282,9.78784
1.746,-0.53771,-0.28212,9.78783
1.786,-0.53783,-0.28113,9.78785
1.826,-0.53845,-0.28144,9.78781
1.866,-0.53788,-0.28115,9.78785
1.906,-0.53738,-0.28049,9.78790
1.946,-0.53733,-0.28101,9.78788
1.986,-0.53692,-0.28147,9.78789
2.026,-0.53688,-0.28208,9.78788
2.066,-0.53685,-0.28261,9.78787
2.106,-0.53696,-0.28333,9.78784
2.146,-0.53634,-0.28278,9.78789
2.186,-0.53578,-0.28231,9.78793
2.227,-0.53604,-0.28207,9.78792
2.267,-0.53590,-0.28223,9.78793
2.307,-0.53662,-0.28286,9.78787
2.347,-0.53615,-0.28356,9.78788
2.387,-0.53574,-0.28378,9.78789
2.428,-0.53566,-0.28400,9.78789
2.467,-0.53595,-0.28382,9.78788
2.507,-0.53556,-0.28504,9.78787
2.547,-0.53560,-0.28427,9.78789
2.587,-0.53564,-0.28396,9.78789
2.627,-0.53528,-0.28488,9.78789
2.667,-0.53496,-0.28533,9.78789
2.707,-0.53641,-0.28499,9.78782
2.748,-0.53587,-0.28530,9.78784
2.787,-0.53539,-0.28555,9.78786
2.827,-0.53553,-0.28570,9.78785
2.868,-0.53602,-0.28546,9.78783
2.908,-0.53599,-0.28553,9.78783
2.948,-0.53539,-0.28565,9.78786
2.988,-0.53485,-0.28576,9.78788
3.028,-0.53449,-0.28493,9.78793
3.068,-0.53454,-0.28420,9.78795
3.108,-0.53528,-0.28380,9.78792
3.149,-0.53549,-0.28379,9.78791
3.189,-0.53567,-0.28342,9.78791
3.229,-0.53527,-0.28335,9.78793
3.268,-0.53528,-0.28366,9.78792
3.308,-0.53509,-0.28433,9.78791
3.349,-0.53547,-0.28446,9.78789
3.388,-0.53580,-0.28457,9.78787
3.429,-0.53527,-0.28516,9.78788
3.469,-0.53482,-0.28566,9.78789
3.509,-0.53561,-0.28489,9.78787
3.549,-0.53589,-0.28427,9.78787
