time,X_value,Y_value,Z_value
0.000,0.00000,0.00000,0.00000
0.108,-0.52275,-0.29049,9.78840
0.148,-0.52265,-0.29072,9.78840
0.188,-0.52252,-0.29053,9.78841
0.228,-0.52196,-0.29082,9.78843
0.269,-0.52149,-0.29065,9.78846
0.308,-0.52131,-0.29015,9.78849
0.348,-0.52152,-0.29008,9.78848
0.387,-0.52122,-0.28947,9.78851
0.428,-0.52133,-0.28855,9.78853
0.468,-0.52017,-0.28922,9.78857
0.508,-0.52052,-0.28887,9.78856
0.549,-0.52045,-0.28858,9.78858
0.588,-0.52048,-0.28827,9.78858
0.629,-0.52013,-0.28799,9.78861
0.669,-0.52108,-0.28822,9.78855
0.709,-0.52205,-0.28792,9.78851
0.749,-0.52292,-0.28729,9.78848
0.789,-0.52251,-0.28776,9.78849
0.829,-0.52215,-0.28856,9.78849
0.869,-0.52216,-0.28850,9.78849
0.910,-0.52286,-0.28873,9.78844
0.949,-0.52310,-0.28931,9.78841
0.989,-0.52313,-0.28927,9.78841
1.029,-0.52279,-0.28960,9.78842
1.071,-0.52373,-0.28979,9.78837
1.110,-0.52401,-0.28937,9.78836
1.150,-0.52426,-0.28899,9.78836
1.189,-0.52451,-0.28872,9.78836
1.229,-0.52473,-0.28885,9.78834
1.269,-0.52454,-0.28837,9.78836
1.310,-0.52515,-0.28889,9.78832
1.349,-0.52568,-0.28900,9.78829
1.390,-0.52482,-0.28996,9.78830
1.430,-0.52442,-0.29043,9.78831
1.473,-0.52502,-0.29080,9.78827
1.510,-0.52541,-0.29123,9.78823
1.549,-0.52540,-0.29124,9.78823
1.590,-0.52554,-0.29086,9.78824
1.630,-0.52530,-0.29090,9.78825
1.671,-0.52526,-0.29036,9.78827
1.711,-0.52485,-0.28963,9.78831
1.751,-0.52448,-0.28935,9.78834
1.791,-0.52463,-0.28969,9.78832
1.831,-0.52514,-0.28963,9.78830
1.872,-0.52568,-0.28949,9.78827
1.911,-0.52533,-0.28950,9.78829
1.951,-0.52539,-0.28950,9.78829
1.992,-0.52547,-0.28904,9.78830
2.033,-0.52555,-0.28861,9.78830
2.072,-0.52564,-0.28759,9.78833
2.111,-0.52538,-0.28766,9.78834
2.151,-0.52552,-0.28770,9.78833
2.191,-0.52522,-0.28834,9.78833
2.232,-0.52458,-0.28853,9.78836
2.274,-0.52393,-0.28834,9.78840
2.312,-0.52285,-0.28833,9.78846
2.351,-0.52225,-0.28833,9.78849
2.391,-0.52230,-0.28802,9.78850
2.433,-0.52197,-0.28813,9.78851
2.472,-0.52250,-0.28839,9.78847
2.512,-0.52221,-0.28856,9.78848
