time,X_value,Y_value,Z_value
0.000,0.00000,0.00000,0.00000
0.111,24.39423,4.92554,12.62360
0.178,23.88458,5.54352,11.75232
0.246,23.34442,4.93317,12.62970
0.313,23.88916,5.53131,12.34283
0.447,24.40338,5.54657,11.45477
0.514,24.05243,5.23834,12.04071
0.581,24.73755,5.25665,10.85663
0.648,24.42017,6.14166,11.46393
0.716,24.75891,5.19714,13.80768
0.782,24.23553,5.85022,11.16486
0.849,23.71368,5.53894,12.04834
0.917,24.23553,5.20630,13.51624
0.984,24.22333,5.24292,11.74469
1.050,24.21875,4.60968,13.50555
1.121,23.73047,5.81360,13.23395
1.185,24.39117,4.61426,13.20953
1.252,23.71368,5.21698,13.22479
1.320,24.21875,4.93164,12.32910
1.387,23.66791,4.06036,11.43188
1.454,24.40338,5.54657,11.45477
1.521,24.59564,5.81207,12.93488
1.588,23.52448,5.55725,11.16486
1.655,24.40796,5.53436,12.04376
1.723,23.87238,4.93469,12.33215
1.789,24.23553,5.20630,13.51624
1.856,24.05243,4.91638,13.21564
1.924,23.68011,4.99115,9.67560
1.991,24.05701,5.22614,12.63123
2.058,24.38202,4.31671,13.20343
2.126,24.55750,4.63257,12.32300
2.193,24.25232,5.80292,13.52692
2.259,23.89374,5.84259,11.75690
2.327,24.94812,5.82123,12.34283
2.394,24.59564,5.81207,12.93488
2.460,23.70605,5.56335,10.86731
2.528,24.07227,5.82123,12.64191
2.595,24.04785,5.25055,11.45020
2.662,24.57428,4.90570,13.50861
2.730,24.40796,5.21088,13.21869
2.797,24.08905,6.09741,13.82904
2.863,24.05701,5.54810,11.45630
2.931,23.70911,5.22919,12.63275
2.998,24.24469,5.50537,13.52081
3.066,24.39423,5.24750,11.44867
3.132,23.51532,4.93774,12.33368
3.200,23.87695,5.24445,11.74774
3.266,23.71368,5.53894,12.04834
3.334,24.05243,5.56030,10.86578
3.401,24.05701,5.22614,12.63123
3.468,23.69232,4.95453,11.44714
3.536,23.88916,5.53131,12.34283
3.603,24.07227,5.82123,12.64191
3.669,24.41559,5.50995,13.22479
3.737,24.20349,4.01459,13.49487
3.804,24.56512,5.25208,11.15265
3.871,24.24469,5.50537,13.52081
3.938,23.90137,5.81818,12.93793
4.005,23.70148,4.93011,12.62817
4.073,24.21875,4.93164,12.32910
