time,X_value,Y_value,Z_value
0.000,0.00000,0.00000,0.00000
0.092,23.71368,5.53894,12.04834
0.159,23.89374,5.84259,11.75690
0.226,23.34900,5.56641,10.86884
0.293,23.72131,6.15845,10.87799
0.360,24.06006,5.85785,10.87189
0.427,23.89374,5.84259,11.75690
0.495,23.88916,5.85327,11.16791
0.562,23.34900,5.56641,10.86884
0.628,23.68469,4.33350,12.61749
0.696,23.51990,5.24750,11.74927
0.763,23.69690,4.94232,12.03766
0.830,23.88153,4.91028,13.51166
0.897,23.86017,4.32739,12.91199
0.964,23.17657,4.91638,13.51624
1.031,23.52753,5.86853,10.57892
1.098,23.88153,4.91028,13.51166
1.166,23.70605,5.24139,12.04376
1.233,23.33984,5.26733,10.86426
1.300,23.70605,4.91943,13.21869
1.367,24.04022,4.30756,13.79700
1.434,24.23553,5.85022,11.16486
1.501,24.06921,5.83344,12.05292
1.568,24.25232,6.44684,11.17706
1.636,24.05243,5.56030,10.86578
1.703,24.40796,5.21088,13.21869
1.770,23.34900,5.56641,10.86884
1.837,24.08142,6.44226,11.47308
1.904,24.26605,5.76630,15.29846
1.971,23.72131,5.83649,12.05444
2.039,24.24011,6.16150,10.58044
2.105,23.90137,6.14014,11.76300
2.173,23.69690,4.94232,12.03766
2.240,24.58649,5.83649,11.75385
2.307,23.89832,6.15234,11.17249
2.374,24.42017,5.49774,13.81531
2.442,23.53668,5.84412,11.75995
2.508,23.18573,5.85938,11.17096
2.576,23.35663,5.86395,10.87494
2.643,23.17352,5.25055,11.75079
2.710,23.89374,5.84259,11.75690
2.777,23.91815,6.09131,14.12506
2.844,24.41254,5.84412,11.45935
2.911,24.06921,5.51147,13.22784
2.979,23.20251,6.45599,11.18164
3.045,23.53210,5.53436,12.34436
3.112,24.76349,5.50690,13.22327
3.180,24.23248,5.54047,11.75079
3.247,24.08142,6.12030,12.64801
3.313,24.06921,5.83344,12.05292
3.381,24.08142,6.44226,11.47308
3.448,24.07227,6.14471,11.46698
3.515,24.06464,5.84564,11.46088
3.583,24.40796,5.53436,12.04376
3.650,24.60327,6.43311,11.76453
3.716,24.04022,4.62952,12.62054
3.784,22.98737,5.25818,11.45782
3.850,24.07227,5.82123,12.64191
3.918,23.71368,5.21698,13.22479
3.986,24.25232,6.44684,11.17706
4.053,24.08142,6.12030,12.64801
4.119,23.33984,5.26733,10.86426
4.187,23.35663,5.86395,10.87494
4.254,23.33221,4.96826,10.85968
4.321,24.24011,5.83954,11.75537
4.388,23.33221,5.29175,9.68323
4.456,23.90137,6.14014,11.76300
4.522,23.19336,6.48041,10.00061
4.590,23.89832,6.15234,11.17249
4.658,24.24927,5.81512,12.93640
4.724,24.60785,6.42090,12.35504
4.791,23.90137,6.14014,11.76300
4.858,23.52753,5.54657,11.75385
4.926,23.70911,5.22919,12.63275
4.992,24.23553,5.85022,11.16486
5.060,23.52753,5.54657,11.75385
5.128,23.15521,4.97742,10.56366
5.194,24.60327,6.11115,12.93945
5.261,24.42017,5.81970,12.64038
5.328,24.60022,6.12335,12.34894
5.395,24.58649,5.83649,11.75385
5.463,23.54126,6.15540,11.17401
5.529,23.71368,5.21698,13.22479
5.597,23.90594,5.80597,13.52997
5.665,22.98737,5.25818,11.45782
5.732,24.23248,5.54047,11.75079
5.799,23.18573,5.85938,11.17096
5.865,24.07227,5.82123,12.64191
5.932,23.90594,5.80597,13.52997
5.999,23.53210,5.85632,11.16943
6.067,24.23248,5.54047,11.75079
6.134,23.88916,5.53131,12.34283
6.200,24.24927,5.81512,12.93640
6.269,23.16437,4.95300,11.74469
6.335,24.41254,5.52216,12.63428
6.402,24.42017,5.49774,13.81531
6.469,23.88916,5.53131,12.34283
6.537,23.52753,5.86853,10.57892
6.603,24.06921,5.51147,13.22784
6.671,23.37036,6.14929,11.47156
6.737,23.72131,5.83649,12.05444
6.805,23.52753,5.54657,11.75385
6.873,24.60327,6.11115,12.93945
6.939,23.71826,5.84869,11.46393
7.007,23.88458,5.54352,11.75232
7.074,24.62006,6.70624,12.95013
7.141,23.70911,5.87311,10.28290
7.208,23.88916,5.20935,13.51776
7.275,22.98737,5.25818,11.45782
7.342,24.08142,5.79834,13.82294
7.410,23.49854,4.66309,11.14807
7.477,23.53210,5.53436,12.34436
7.543,23.70148,5.25360,11.45172
